Ticker,SPY,SPY,SPY,SPY,SPY,BND,BND,BND,BND,BND,TSLA,TSLA,TSLA,TSLA,TSLA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2015-01-02,170.47252742690722,170.88553383109766,168.6552891653052,169.68780517578125,121465900,59.04806947874174,59.234319923336166,59.04090452868853,59.205665588378906,2218800,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000
2015-01-05,168.64711237367317,168.81231249174675,166.3177617197252,166.62338256835938,169632600,59.270122551168576,59.39906430150053,59.241468221622085,59.3775749206543,5820100,14.303333282470703,14.433333396911621,13.810667037963867,14.005999565124512,80527500
2015-01-06,166.92891870896608,167.4493107905881,164.26090097427732,165.0538787841797,209151400,59.47790832676657,59.72862707257333,59.47790832676657,59.54954147338867,3887600,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500
2015-01-07,166.37553619335011,167.44935560927416,165.9294947211136,167.11068725585938,125346700,59.55667281290986,59.656960254628764,59.49220465691443,59.5853271484375,2433400,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678223,44526000
2015-01-08,168.51487082072038,170.2908059455661,168.49835963917315,170.07603454589844,147217800,59.53520061534696,59.53520061534696,59.434913144675136,59.49222183227539,1873400,14.187333106994629,14.25333309173584,14.000666618347168,14.041333198547363,51637500
2015-01-09,170.48904203900992,170.50556582461752,168.10186547890984,168.71311950683594,158567300,59.463572213368444,59.6641471706495,59.45640726053478,59.59251403808594,1646100,13.928000450134277,13.998666763305664,13.663999557495117,13.77733325958252,70024500
2015-01-12,168.84528539651083,169.00222985064968,166.78850891492957,167.39149475097656,144396100,59.63543775321025,59.692746392441535,59.59961848737753,59.67125701904297,4397900,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500
2015-01-13,168.60577637472915,169.72915460451395,165.62386881945937,166.92071533203125,214553300,59.67842914182272,59.79304644456493,59.62112595570541,59.728572845458984,2223400,13.554667472839355,13.840666770935059,13.394000053405762,13.616666793823242,67159500
2015-01-14,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,192991100,59.91485167421923,59.97216035279749,59.85038350976098,59.864707946777344,2481200,12.388667106628418,13.013333320617676,12.333333015441895,12.845999717712402,173278500
2015-01-15,166.54903755284403,166.86291398308043,164.277501361906,164.3931427001953,176613900,59.85035357315334,60.14405083976352,59.85035357315334,60.12972640991211,4214500,12.965999603271484,13.050000190734863,12.666666984558105,12.791333198547363,78247500
2015-01-16,164.18656833404498,166.7059099032591,164.004844509121,166.54896545410156,211879600,60.03659150230031,60.06524582392291,59.87183598453665,59.95063400268555,3631300,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000
2015-01-20,167.1850008985163,167.4493310684787,165.34299571593226,166.90415954589844,130991100,59.95779869655386,60.050926616236595,59.864676242124624,59.886165618896484,3029500,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630371,67548000
2015-01-21,166.441602184859,168.2257931041972,165.9790369696136,167.7467041015625,122942700,60.022321339919905,60.0294862931166,59.76443767741854,59.771602630615234,2473900,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000
2015-01-22,168.49841437027467,170.37345500531438,167.12722961914895,170.24130249023438,174356000,59.90768076158239,59.90768076158239,59.721435772621135,59.78590393066406,2157400,13.133333206176758,13.549332618713379,13.013333320617676,13.441332817077637,61753500
2015-01-23,169.98518533689273,170.24125991747914,169.17569624213647,169.307861328125,117516800,59.91485071214095,60.00797321439302,59.89336132433326,59.97932434082031,6255000,13.352666854858398,13.566666603088379,13.222000122070312,13.419333457946777,51579000
2015-01-26,169.0931194349828,169.79522289212784,168.3827477816635,169.70436096191406,92009700,59.979338181192404,59.99366262128416,59.87188575210277,59.90769958496094,7810500,13.45533275604248,13.907999992370605,13.403332710266113,13.770000457763672,48517500
2015-01-27,167.65581498160063,168.60572463711327,166.63982279120685,167.46583557128906,134044600,60.072453769860964,60.09394316014654,59.90769266891005,59.943511962890625,1154100,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,41715000
2015-01-28,168.64703747352567,168.74615497955716,165.12822736589717,165.31820678710938,168514300,59.914846174980546,60.23719789819778,59.900521739278936,60.15840530395508,1394600,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,47244000
2015-01-29,165.51647790768044,167.1024212491774,164.11224581839372,166.8463592529297,173585400,60.129725674658935,60.15121505180013,60.0007839465582,60.09390640258789,1551300,13.404666900634766,13.732000350952148,13.100000381469727,13.680000305175781,53221500
2015-01-30,165.67343415017112,166.99504739330268,164.48397340858196,164.748291015625,197729700,60.31600187796336,60.42345428466797,60.25153371309445,60.42345428466797,10474400,13.597332954406738,13.83133316040039,13.533332824707031,13.573332786560059,45105000
2015-02-02,165.24388830461308,166.87939036836673,163.43491798072392,166.7885284423828,163107000,60.25836090241446,60.42345471771759,60.22965417272928,60.35167694091797,6070500,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005371,62238000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,124212900,60.24402298299157,60.28708856485386,60.129174129632446,60.16506576538086,1237200,14.214667320251465,14.691332817077637,14.084667205810547,14.557332992553711,72393000
2015-02-04,168.44057206127013,169.64655660572535,168.10190370106497,168.55621337890625,134306700,60.04302130464699,60.19375626308028,59.97841747886543,60.18657684326172,2945700,14.552666664123535,14.76533317565918,14.453332901000977,14.569999694824219,49581000
2015-02-05,169.2170253881554,170.40648613676643,169.14268724235677,170.25779724121094,97953200,60.07173570173386,60.121980689713475,60.014311293673444,60.057376861572266,2128200,14.658666610717773,15.031999588012695,14.642666816711426,14.732666969299316,52843500
2015-02-06,170.62127129310568,171.18296677943948,169.26661025471967,169.78700256347656,125672000,59.849243235152805,59.877955451534255,59.65544261994717,59.669795989990234,2907700,14.800000190734863,14.893333435058594,14.433333396911621,14.490667343139648,48658500
2015-02-09,169.14271042465256,169.8613378071158,168.62231812482196,169.02706909179688,87219000,59.77029247892817,59.78465132682081,59.61955743383095,59.64826965332031,1384600,14.358667373657227,14.528667449951172,14.13266658782959,14.498666763305664,52086000
